sa1   NC   DFF_63/Q_reg/SE
sa1   NO   U877/SL
sa1   NC   DFF_64/Q_reg/SE
sa1   NC   DFF_65/Q_reg/SE
sa1   NC   DFF_66/Q_reg/SE
sa0   NO   U493/A1
sa1   NC   DFF_67/Q_reg/SE
sa0   NO   U492/B2
sa1   NC   DFF_68/Q_reg/SE
sa1   NC   DFF_69/Q_reg/SE
sa0   NO   U490/A2
sa1   NC   DFF_70/Q_reg/SE
sa0   NO   U489/A2
sa1   NC   DFF_71/Q_reg/SE
sa0   NO   U938/A2
sa0   NO   U935/A0
sa1   NO   U934/A2
sa1   NO   U934/Z
sa0   --   U934/A2
sa0   --   U934/A1
sa1   --   U935/A1
sa1   NO   U933/B2
sa1   NO   U933/A1
sa1   NO   U933/A3
sa1   NO   U932/B
sa1   NO   U932/Z
sa0   --   U932/B
sa1   --   U933/B1
sa0   NO   U933/B2
sa0   --   U933/B1
sa0   --   U932/Z
sa0   NO   U932/A2
sa1   NO   U932/A1
sa1   --   U932/A2
sa0   NO   U932/A1
sa0   NO   U931/B
sa1   NO   U931/A1
sa1   NO   U850/A2
sa1   NO   U850/A1
sa1   NO   U850/A3
sa1   NO   U847/Z
sa0   --   U847/A
sa1   --   U931/A2
sa1   NO   U788/Z
sa0   --   U788/A
sa1   --   U933/A2
sa1   NO   U636/B
sa1   NO   U936/A1
sa1   --   U936/A2
sa1   --   U636/Z
sa0   --   U636/C
sa0   --   U636/B
sa1   --   U850/Z
sa0   --   U850/A4
sa0   --   U850/A3
sa0   --   U850/A1
sa0   --   U850/A2
sa0   --   U933/Z
sa0   NO   U931/Z
sa1   --   U931/B
sa0   --   U636/A2
sa0   NO   U636/A1
sa1   NO   U485/B2
sa1   NO   U485/B1
sa0   NO   U485/B1
sa0   --   U485/B2
sa1   NO   U485/A2
sa1   NO   U485/A1
sa0   NO   U485/A1
sa0   --   U485/A2
sa1   NO   U484/B2
sa1   --   U484/B1
sa1   --   U485/Z
sa0   NO   U485/Z
sa0   --   U484/B1
sa0   NO   U484/A2
sa1   NC   DFF_72/Q_reg/SE
sa1   NC   DFF_73/Q_reg/SE
sa1   NO   U480/A1
sa0   NO   U481/B2
sa1   NO   U481/B1
sa1   --   U481/B2
sa1   NO   U520/B1
sa1   NO   U520/A2
sa0   NO   U538/Z
sa0   --   U905/A1
sa1   NO   U903/A2
sa0   NO   U903/A2
sa1   NO   U903/A1
sa0   NO   U903/A1
sa1   NO   U903/Z
sa1   --   U906/A2
sa0   NO   U902/A2
sa0   NO   U902/A1
sa1   NO   U540/A2
